Protein	EC number
Q9FDN6	non Enzyme
Q9HGK2	non Enzyme
Q9FN19	non Enzyme
Q5QMZ9	non Enzyme
P29227	non Enzyme
Q9NWY4	non Enzyme
P39734	non Enzyme
P13126	non Enzyme
P07354	non Enzyme
Q9ESM3	non Enzyme
Q94BZ5	non Enzyme
Q96320	non Enzyme
Q6VYH9	non Enzyme
O14368	non Enzyme
P02318	non Enzyme
P83214	non Enzyme
Q08GK9	non Enzyme
P06775	non Enzyme
Q9FM19	non Enzyme
Q86LR2	non Enzyme
Q23794	non Enzyme
Q15651	non Enzyme
Q9XH38	non Enzyme
Q9LNW0	non Enzyme
Q9S7U5	non Enzyme
O22230	non Enzyme
P69852	non Enzyme
P83211	non Enzyme
Q93WP8	non Enzyme
Q9P3W2	non Enzyme
P02263	non Enzyme
O23628	non Enzyme
P82887	non Enzyme
P14439	non Enzyme
Q04996	non Enzyme
Q00466	non Enzyme
Q99L00	non Enzyme
Q8H991	non Enzyme
P18468	non Enzyme
P08258	non Enzyme
Q94C37	non Enzyme
Q3UMU9	non Enzyme
Q9R257	non Enzyme
Q9WU63	non Enzyme
Q03281	non Enzyme
P46607	non Enzyme
Q93ZH9	non Enzyme
Q9SRH6	non Enzyme
P24092	non Enzyme
P40480	non Enzyme
Q6ZA74	non Enzyme
Q0E0A6	non Enzyme
O43083	non Enzyme
P38922	non Enzyme
Q9LM25	non Enzyme
Q20106	non Enzyme
Q99181	non Enzyme
P09013	non Enzyme
Q01822	non Enzyme
O57374	non Enzyme
P33077	non Enzyme
P13199	non Enzyme
P36313	non Enzyme
Q5E981	non Enzyme
F4IPE3	non Enzyme
Q8GYC1	non Enzyme
Q8T0R7	non Enzyme
Q9BTL4	non Enzyme
Q12345	non Enzyme
Q9SIZ2	non Enzyme
Q7NBT3	non Enzyme
Q8UW00	non Enzyme
P53187	non Enzyme
Q84U86	non Enzyme
Q01448	non Enzyme
Q9GQV7	non Enzyme
O59838	non Enzyme
P35385	non Enzyme
O04203	non Enzyme
Q00056	non Enzyme
O42366	non Enzyme
P09017	non Enzyme
Q00444	non Enzyme
C4NZN9	non Enzyme
B3RFR8	non Enzyme
P71229	non Enzyme
P97290	non Enzyme
P09310	non Enzyme
Q9W303	non Enzyme
Q04757	non Enzyme
Q12347	non Enzyme
Q9W1R4	non Enzyme
Q8WWN9	non Enzyme
O61955	non Enzyme
P56289	non Enzyme
P19211	non Enzyme
Q21067	non Enzyme
Q20898	non Enzyme
P39520	non Enzyme
Q90873	non Enzyme
P05012	non Enzyme
Q90WW4	non Enzyme
P09015	non Enzyme
O29751	non Enzyme
Q9MAT6	non Enzyme
P11065	non Enzyme
P43773	non Enzyme
P48723	non Enzyme
P33129	non Enzyme
A6QLZ1	non Enzyme
A0A0B4J1V1	non Enzyme
O24408	non Enzyme
O24410	non Enzyme
Q8H174	non Enzyme
O70218	non Enzyme
P34749	non Enzyme
Q9NWW0	non Enzyme
Q80WM4	non Enzyme
P90859	non Enzyme
P22121	non Enzyme
P38348	non Enzyme
P02517	non Enzyme
P25619	non Enzyme
O53478	non Enzyme
Q9FJF8	non Enzyme
A0A0C4DH38	non Enzyme
O85094	non Enzyme
Q57VB1	non Enzyme
Q382V8	non Enzyme
P35304	non Enzyme
P10119	non Enzyme
Q0VDF9	non Enzyme
P79073	non Enzyme
Q9NX55	non Enzyme
Q61190	non Enzyme
O09030	non Enzyme
P82977	non Enzyme
Q9H7X7	non Enzyme
A8HN58	non Enzyme
P50079	non Enzyme
Q8LFW5	non Enzyme
Q9LEY4	non Enzyme
O94650	non Enzyme
A0A0A0MS15	non Enzyme
Q96M11	non Enzyme
P32464	non Enzyme
Q6PHB0	non Enzyme
P16968	non Enzyme
Q38826	non Enzyme
P01086	non Enzyme
B3F211	non Enzyme
Q80VL0	non Enzyme
Q2HR75	non Enzyme
P09941	non Enzyme
Q9ZUL3	non Enzyme
Q9P7S9	non Enzyme
Q9SAD7	non Enzyme
A0A0B4J1U7	non Enzyme
Q5A849	non Enzyme
P03170	non Enzyme
P17473	non Enzyme
P38912	non Enzyme
Q09130	non Enzyme
P25038	non Enzyme
Q10475	non Enzyme
B4ER10	non Enzyme
Q3KNY0	non Enzyme
P01878	non Enzyme
Q9P305	non Enzyme
Q5VJ70	non Enzyme
P83578	non Enzyme
O82170	non Enzyme
Q5D7H4	non Enzyme
P09023	non Enzyme
P31274	non Enzyme
P82381	non Enzyme
Q5DM57	non Enzyme
P56286	non Enzyme
Q53G44	non Enzyme
P90901	non Enzyme
P16275	non Enzyme
O35368	non Enzyme
Q38829	non Enzyme
Q8W4Y8	non Enzyme
Q9S9E3	non Enzyme
P01068	non Enzyme
Q9ERM2	non Enzyme
P43579	non Enzyme
Q93ZT6	non Enzyme
Q86VF2	non Enzyme
O95976	non Enzyme
Q5A8I8	non Enzyme
Q8NI38	non Enzyme
P48411	non Enzyme
P15247	non Enzyme
P32899	non Enzyme
B3H615	non Enzyme
Q5ZKY4	non Enzyme
P55103	non Enzyme
A7LKB2	non Enzyme
P26798	non Enzyme
V5JFY4	non Enzyme
Q9Y7R5	non Enzyme
O73727	non Enzyme
P01342	non Enzyme
Q9VBB3	non Enzyme
P09255	non Enzyme
P09269	non Enzyme
P33546	non Enzyme
Q8VZ79	non Enzyme
Q9UTM0	non Enzyme
B7SXM5	non Enzyme
G5EFW7	non Enzyme
Q5RHH4	non Enzyme
Q9DFS6	non Enzyme
O22290	non Enzyme
Q19286	non Enzyme
P09912	non Enzyme
Q7TSL0	non Enzyme
Q6RCE1	non Enzyme
P82706	non Enzyme
Q95141	non Enzyme
P19765	non Enzyme
Q7KUD5	non Enzyme
P82705	non Enzyme
Q22560	non Enzyme
P70628	non Enzyme
Q75QN2	non Enzyme
P32053	non Enzyme
P18011	non Enzyme
Q9SF32	non Enzyme
Q9ER75	non Enzyme
Q9CXV0	non Enzyme
B1P1G8	non Enzyme
P0C2X7	non Enzyme
P62520	non Enzyme
P08728	non Enzyme
Q09796	non Enzyme
P83243	non Enzyme
P34563	non Enzyme
Q5A7R7	non Enzyme
Q5A1E0	non Enzyme
O13681	non Enzyme
P25626	non Enzyme
Q9SCT4	non Enzyme
Q9QY05	non Enzyme
Q9V3W6	non Enzyme
Q9Y5U9	non Enzyme
P78413	non Enzyme
P78859	non Enzyme
Q04934	non Enzyme
P36224	non Enzyme
P14345	non Enzyme
P11138	non Enzyme
P47813	non Enzyme
Q9H2K0	non Enzyme
Q9DAI2	non Enzyme
Q9H665	non Enzyme
P79058	non Enzyme
Q9H5V7	non Enzyme
Q9D154	non Enzyme
Q9VPH0	non Enzyme
P18010	non Enzyme
Q86IZ4	non Enzyme
A3KQH2	non Enzyme
Q9VDH6	non Enzyme
P13378	non Enzyme
Q9M1R4	non Enzyme
Q8RYC6	non Enzyme
Q38827	non Enzyme
P32936	non Enzyme
P11643	non Enzyme
P00999	non Enzyme
P26461	non Enzyme
P04365	non Enzyme
Q7XR02	non Enzyme
P01052	non Enzyme
O14645	non Enzyme
P78954	non Enzyme
P56829	non Enzyme
Q8CGK6	non Enzyme
Q5PR66	non Enzyme
Q6UW32	non Enzyme
P53897	non Enzyme
Q6WRI0	non Enzyme
Q6WRH9	non Enzyme
Q8N9C0	non Enzyme
Q9NSI5	non Enzyme
O77150	non Enzyme
Q9V8F5	non Enzyme
C0LLJ0	non Enzyme
O60100	non Enzyme
P21190	non Enzyme
Q96G21	non Enzyme
F4JL11	non Enzyme
P82176	non Enzyme
P28169	non Enzyme
A8JA42	non Enzyme
Q8TDY8	non Enzyme
Q02815	non Enzyme
Q8WWZ1	non Enzyme
Q10199	non Enzyme
P29681	non Enzyme
O69196	non Enzyme
O81313	non Enzyme
K9JA28	non Enzyme
Q9Y581	non Enzyme
Q9VT41	non Enzyme
Q9NV88	non Enzyme
O01634	non Enzyme
Q9D9K8	non Enzyme
Q9UPP2	non Enzyme
P36115	non Enzyme
Q9SNE5	non Enzyme
Q9P0M4	non Enzyme
Q9JKV9	non Enzyme
Q9JI24	non Enzyme
F4J8R4	non Enzyme
Q9CX62	non Enzyme
Q9SUV9	non Enzyme
Q03824	non Enzyme
O61787	non Enzyme
P0CT04	non Enzyme
Q86U28	non Enzyme
Q9XUC2	non Enzyme
Q580S0	non Enzyme
P48092	non Enzyme
Q9UHF5	non Enzyme
Q06435	non Enzyme
F4I893	non Enzyme
P04667	non Enzyme
Q8IWB1	non Enzyme
Q5AH02	non Enzyme
Q59SR6	non Enzyme
Q6L8G1	non Enzyme
Q53TQ3	non Enzyme
O42871	non Enzyme
P43031	non Enzyme
F1QR98	non Enzyme
Q9NVR2	non Enzyme
Q96CB8	non Enzyme
O23492	non Enzyme
P61925	non Enzyme
Q6IPM2	non Enzyme
Q5JU85	non Enzyme
P18963	non Enzyme
P78415	non Enzyme
Q07821	non Enzyme
P0DN75	non Enzyme
Q9BUE6	non Enzyme
P53843	non Enzyme
Q8GYU3	non Enzyme
Q6S592	non Enzyme
B1P1B8	non Enzyme
Q02932	non Enzyme
P60208	non Enzyme
R4GUQ3	non Enzyme
E4Z7G0	non Enzyme
Q9NYR9	non Enzyme
Q8N5I3	non Enzyme
Q9FWX6	non Enzyme
Q9ZPX9	non Enzyme
F8WLE0	non Enzyme
A6H750	non Enzyme
Q6S003	non Enzyme
Q95YD4	non Enzyme
Q84VQ1	non Enzyme
G5ED84	non Enzyme
Q84JS6	non Enzyme
Q9V9N1	non Enzyme
O94290	non Enzyme
C0HJF7	non Enzyme
P83036	non Enzyme
Q8NAX2	non Enzyme
P36937	non Enzyme
O07536	non Enzyme
Q9UIL4	non Enzyme
Q91636	non Enzyme
Q8LBB2	non Enzyme
Q9C616	non Enzyme
P0C194	non Enzyme
P0DL37	non Enzyme
P80670	non Enzyme
Q9NJP7	non Enzyme
Q9NYS0	non Enzyme
P17972	non Enzyme
O67045	non Enzyme
Q9Y7X6	non Enzyme
Q55274	non Enzyme
P01001	non Enzyme
P58062	non Enzyme
Q5DT21	non Enzyme
P53711	non Enzyme
P26009	non Enzyme
P82409	non Enzyme
P47135	non Enzyme
O16846	non Enzyme
Q5T7N3	non Enzyme
O43448	non Enzyme
Q6WVG3	non Enzyme
Q764M8	non Enzyme
Q0IHP2	non Enzyme
O84120	non Enzyme
Q6CE48	non Enzyme
P58166	non Enzyme
Q03694	non Enzyme
Q02733	non Enzyme
Q90871	non Enzyme
Q50562	non Enzyme
O04310	non Enzyme
Q9SAV1	non Enzyme
P53863	non Enzyme
P0C010	non Enzyme
Q2T9R2	non Enzyme
Q96SI1	non Enzyme
Q9I830	non Enzyme
Q9XFR0	non Enzyme
Q6Q560	non Enzyme
Q96AB3	non Enzyme
Q9QYE7	non Enzyme
P56254	non Enzyme
P58455	non Enzyme
Q9NPI9	non Enzyme
Q9H3M0	non Enzyme
Q92952	non Enzyme
Q50H33	non Enzyme
Q9JHP7	non Enzyme
Q6H9L7	non Enzyme
Q8L735	non Enzyme
Q10286	non Enzyme
P38057	non Enzyme
O04316	non Enzyme
P0C5X7	non Enzyme
Q2LD37	non Enzyme
Q8N8K9	non Enzyme
P55927	non Enzyme
Q61179	non Enzyme
P09715	non Enzyme
O14066	non Enzyme
Q75HB1	non Enzyme
Q8LE59	non Enzyme
Q90XW6	non Enzyme
A1A546	non Enzyme
Q9R000	non Enzyme
P53125	non Enzyme
P01070	non Enzyme
P33417	non Enzyme
Q9SDM9	non Enzyme
F4J078	non Enzyme
O48716	non Enzyme
B1P1E6	non Enzyme
Q5ZM91	non Enzyme
P0DJ41	non Enzyme
Q5JT82	non Enzyme
Q5U374	non Enzyme
Q9P2G3	non Enzyme
Q6V595	non Enzyme
Q9UTL2	non Enzyme
Q60660	non Enzyme
P27471	non Enzyme
F4K0J3	non Enzyme
Q7X7H4	non Enzyme
Q90121	non Enzyme
Q3LI72	non Enzyme
Q7ZUV2	non Enzyme
P82147	non Enzyme
P39526	non Enzyme
O00515	non Enzyme
P10999	non Enzyme
Q6A0A2	non Enzyme
Q9FKA9	non Enzyme
P40796	non Enzyme
Q9SLB7	non Enzyme
G3ETQ2	non Enzyme
Q8BQR4	non Enzyme
P56219	non Enzyme
C9JR72	non Enzyme
Q2NL05	non Enzyme
Q6TDP4	non Enzyme
Q9JI74	non Enzyme
Q04431	non Enzyme
Q9LRY0	non Enzyme
Q14667	non Enzyme
P08802	non Enzyme
Q9HCM3	non Enzyme
Q61414	non Enzyme
P0DL45	non Enzyme
Q95NJ8	non Enzyme
P60211	non Enzyme
P83407	non Enzyme
P58498	non Enzyme
P0C166	non Enzyme
Q6S002	non Enzyme
Q6P9L6	non Enzyme
O08672	non Enzyme
P16948	non Enzyme
Q8IUG1	non Enzyme
Q3LI66	non Enzyme
P42846	non Enzyme
P46872	non Enzyme
O32080	non Enzyme
B0BMY1	non Enzyme
Q9H511	non Enzyme
P08155	non Enzyme
Q0E9G3	non Enzyme
P04119	non Enzyme
P05300	non Enzyme
O88038	non Enzyme
P25084	non Enzyme
Q9CA25	non Enzyme
Q8C351	non Enzyme
P49291	non Enzyme
B4FG96	non Enzyme
P38210	non Enzyme
Q08218	non Enzyme
Q70DJ5	non Enzyme
Q9AYP9	non Enzyme
P49329	non Enzyme
B2KNH9	non Enzyme
Q60652	non Enzyme
Q9MZK9	non Enzyme
O53838	non Enzyme
Q9FPQ8	non Enzyme
Q2U5H9	non Enzyme
Q8IUC2	non Enzyme
P96856	non Enzyme
P03023	non Enzyme
P06027	non Enzyme
P02872	non Enzyme
Q66S03	non Enzyme
P83790	non Enzyme
Q21341	non Enzyme
E7FE13	non Enzyme
O61585	non Enzyme
Q90478	non Enzyme
Q8JHV6	non Enzyme
Q5XV40	non Enzyme
P32067	non Enzyme
Q53QV2	non Enzyme
Q40987	non Enzyme
Q8QGU6	non Enzyme
O65272	non Enzyme
P50090	non Enzyme
Q9BPU3	non Enzyme
P83655	non Enzyme
Q9Y2U9	non Enzyme
Q9US60	non Enzyme
O54707	non Enzyme
Q36736	non Enzyme
O81635	non Enzyme
O42235	non Enzyme
P0C175	non Enzyme
B2CW77	non Enzyme
Q27IK6	non Enzyme
B9FMJ3	non Enzyme
P48000	non Enzyme
Q66JQ7	non Enzyme
Q9Z2Q2	non Enzyme
Q9FG31	non Enzyme
U3KRG0	non Enzyme
P02707	non Enzyme
Q9S8M0	non Enzyme
P30617	non Enzyme
Q9S6Z8	non Enzyme
P21866	non Enzyme
Q6RZZ9	non Enzyme
Q9GYZ0	non Enzyme
Q9ZVU5	non Enzyme
Q9VWH8	non Enzyme
C0HJC4	non Enzyme
O42936	non Enzyme
Q1ELU1	non Enzyme
P82615	non Enzyme
O48573	non Enzyme
Q32SG3	non Enzyme
P13054	non Enzyme
P60369	non Enzyme
P40026	non Enzyme
Q96MU8	non Enzyme
Q26474	non Enzyme
P81018	non Enzyme
P0C5F2	non Enzyme
P38851	non Enzyme
Q01635	non Enzyme
P36146	non Enzyme
Q9FKZ3	non Enzyme
Q6L8G4	non Enzyme
Q03965	non Enzyme
Q9LJK3	non Enzyme
P29752	non Enzyme
O68586	non Enzyme
P19578	non Enzyme
P41418	non Enzyme
Q10109	non Enzyme
Q9LS90	non Enzyme
Q8K406	non Enzyme
P80103	non Enzyme
P35105	non Enzyme
P95673	non Enzyme
Q2RQ23	non Enzyme
P80060	non Enzyme
Q39138	non Enzyme
P24146	non Enzyme
B3EWQ9	non Enzyme
Q02796	non Enzyme
P35089	non Enzyme
P80105	non Enzyme
P35095	non Enzyme
P04124	non Enzyme
G5ECX0	non Enzyme
Q9BTT6	non Enzyme
Q24388	non Enzyme
O08843	non Enzyme
B3EWF2	non Enzyme
B3EWF5	non Enzyme
P81829	non Enzyme
Q68G74	non Enzyme
Q64281	non Enzyme
B7PS00	non Enzyme
Q8N448	non Enzyme
Q93ZB1	non Enzyme
Q496Y0	non Enzyme
Q8IVV2	non Enzyme
Q02783	non Enzyme
Q15345	non Enzyme
Q6UWM7	non Enzyme
P31379	non Enzyme
P02873	non Enzyme
P85211	non Enzyme
P84870	non Enzyme
A5PF61	non Enzyme
Q7S7L4	non Enzyme
C0HK44	non Enzyme
Q8JHC4	non Enzyme
F4KDA6	non Enzyme
Q9CCP6	non Enzyme
O49067	non Enzyme
P02233	non Enzyme
P80107	non Enzyme
P07503	non Enzyme
P02947	non Enzyme
P80104	non Enzyme
P0C0Y1	non Enzyme
P35107	non Enzyme
Q55GV9	non Enzyme
Q25338	non Enzyme
Q9ETX2	non Enzyme
Q8UVR3	non Enzyme
A8MQN2	non Enzyme
P30639	non Enzyme
P47055	non Enzyme
Q09566	non Enzyme
P05162	non Enzyme
P07583	non Enzyme
P56470	non Enzyme
P39398	non Enzyme
P09927	non Enzyme
P34427	non Enzyme
Q01584	non Enzyme
Q9LF24	non Enzyme
F4JCX9	non Enzyme
P75958	non Enzyme
Q3U285	non Enzyme
Q9ESF4	non Enzyme
Q5N7C7	non Enzyme
Q07797	non Enzyme
P80100	non Enzyme
P80101	non Enzyme
P04123	non Enzyme
P97253	non Enzyme
P26273	non Enzyme
Q27365	non Enzyme
Q54NW4	non Enzyme
Q9VRN5	non Enzyme
Q02989	non Enzyme
Q9VKY1	non Enzyme
P33231	non Enzyme
P14732	non Enzyme
O13719	non Enzyme
Q14657	non Enzyme
P38800	non Enzyme
P43560	non Enzyme
P86047	non Enzyme
P13068	non Enzyme
P0ACV4	non Enzyme
D5MCN2	non Enzyme
Q9BRS8	non Enzyme
B3EY83	non Enzyme
Q8WPD0	non Enzyme
P16404	non Enzyme
C0HK14	non Enzyme
P83304	non Enzyme
Q7Z429	non Enzyme
Q9UPQ0	non Enzyme
P40578	non Enzyme
Q91VN4	non Enzyme
Q09T02	non Enzyme
F4IP69	non Enzyme
B0FHH8	non Enzyme
P02605	non Enzyme
Q6INX3	non Enzyme
P09402	non Enzyme
P18432	non Enzyme
P53163	non Enzyme
P34165	non Enzyme
Q93712	non Enzyme
Q9W062	non Enzyme
Q9M0V0	non Enzyme
A2VEI2	non Enzyme
P08940	non Enzyme
P03817	non Enzyme
Q9UUB5	non Enzyme
O05797	non Enzyme
Q9Y8C2	non Enzyme
Q9UT46	non Enzyme
P47123	non Enzyme
Q8TEZ7	non Enzyme
O60487	non Enzyme
Q6UWV2	non Enzyme
Q9VAY3	non Enzyme
Q9NDE8	non Enzyme
Q5XIN3	non Enzyme
P54544	non Enzyme
Q9ZNG6	non Enzyme
Q9SKN1	non Enzyme
Q9HDV6	non Enzyme
Q9LF50	non Enzyme
O94756	non Enzyme
P52477	non Enzyme
P52002	non Enzyme
P50087	non Enzyme
Q8SXD4	non Enzyme
Q0WVF8	non Enzyme
P38564	non Enzyme
I6Y8F7	non Enzyme
P56138	non Enzyme
Q7Z3U7	non Enzyme
Q86VD1	non Enzyme
Q8NDC4	non Enzyme
Q8UUG0	non Enzyme
Q8NCK7	non Enzyme
Q0WP36	non Enzyme
Q63344	non Enzyme
O15375	non Enzyme
Q9D023	non Enzyme
Q3TYA6	non Enzyme
Q86A84	non Enzyme
Q9XGM2	non Enzyme
Q6XJV6	non Enzyme
P32125	non Enzyme
Q63327	non Enzyme
Q7L1V2	non Enzyme
O49429	non Enzyme
Q6ZSM3	non Enzyme
O95907	non Enzyme
Q8GYX3	non Enzyme
Q9Y5U8	non Enzyme
Q7DNC3	non Enzyme
Q9NXK6	non Enzyme
Q96LB2	non Enzyme
Q7Z745	non Enzyme
P0DM64	non Enzyme
Q9K2S2	non Enzyme
Q9FLG2	non Enzyme
Q304A0	non Enzyme
P13712	non Enzyme
Q8VZL4	non Enzyme
Q91VE6	non Enzyme
Q07980	non Enzyme
Q01449	non Enzyme
Q8VI63	non Enzyme
Q86VX9	non Enzyme
Q84JZ6	non Enzyme
Q7RTY1	non Enzyme
Q3TEW6	non Enzyme
Q94C32	non Enzyme
Q96AM1	non Enzyme
Q3UG50	non Enzyme
Q8L7W1	non Enzyme
F4IME2	non Enzyme
P32559	non Enzyme
Q14728	non Enzyme
Q6NUT3	non Enzyme
Q8BH31	non Enzyme
P25573	non Enzyme
O74896	non Enzyme
P83636	non Enzyme
O34375	non Enzyme
Q9C0W0	non Enzyme
Q9D7G9	non Enzyme
P36044	non Enzyme
P06742	non Enzyme
Q06580	non Enzyme
Q12083	non Enzyme
Q9SXB6	non Enzyme
Q9UUG5	non Enzyme
Q96A32	non Enzyme
P9WJV1	non Enzyme
P84308	non Enzyme
O15374	non Enzyme
O15403	non Enzyme
B0R367	non Enzyme
P77348	non Enzyme
O94321	non Enzyme
Q90ZL1	non Enzyme
P40567	non Enzyme
P27439	non Enzyme
Q42377	non Enzyme
P71039	non Enzyme
Q21986	non Enzyme
P23059	non Enzyme
O49459	non Enzyme
O61365	non Enzyme
P59045	non Enzyme
P27929	non Enzyme
Q3E7Y6	non Enzyme
Q9IK92	non Enzyme
Q5ANE3	non Enzyme
P97369	non Enzyme
Q9IAL8	non Enzyme
P0A185	non Enzyme
F4KEY9	non Enzyme
Q9LPI7	non Enzyme
A4FVP6	non Enzyme
A4VCM0	non Enzyme
P32739	non Enzyme
F1AWB0	non Enzyme
P48986	non Enzyme
Q9LUI2	non Enzyme
O82259	non Enzyme
F4KEW8	non Enzyme
Q24567	non Enzyme
O77638	non Enzyme
P34060	non Enzyme
Q9H094	non Enzyme
O04716	non Enzyme
O74502	non Enzyme
P67983	non Enzyme
Q9M219	non Enzyme
Q9UDX5	non Enzyme
Q923Z3	non Enzyme
P0AAD2	non Enzyme
P39731	non Enzyme
Q92349	non Enzyme
P50276	non Enzyme
Q9SSA1	non Enzyme
Q8TBZ2	non Enzyme
P42615	non Enzyme
Q8VZM1	non Enzyme
Q9S851	non Enzyme
Q9M8K6	non Enzyme
Q96JP2	non Enzyme
P34127	non Enzyme
Q02045	non Enzyme
F4HXQ7	non Enzyme
Q9JJW5	non Enzyme
P69928	non Enzyme
Q99271	non Enzyme
P03418	non Enzyme
P27588	non Enzyme
P16285	non Enzyme
Q9Z0H5	non Enzyme
Q4G078	non Enzyme
Q9SZL6	non Enzyme
Q5F3B1	non Enzyme
P38860	non Enzyme
Q9P7R3	non Enzyme
Q9V3F3	non Enzyme
P03077	non Enzyme
Q9P6R4	non Enzyme
Q9SW27	non Enzyme
Q9H195	non Enzyme
O34674	non Enzyme
Q9LX82	non Enzyme
Q05623	non Enzyme
Q9FG14	non Enzyme
Q07932	non Enzyme
Q6NZ67	non Enzyme
Q03735	non Enzyme
Q9C932	non Enzyme
Q9ZVP8	non Enzyme
P53017	non Enzyme
P11956	non Enzyme
F4IHL3	non Enzyme
Q8VED8	non Enzyme
Q9Y4I5	non Enzyme
Q9FNV9	non Enzyme
Q8IEF6	non Enzyme
O49608	non Enzyme
Q9S7L2	non Enzyme
Q54TN2	non Enzyme
Q336P5	non Enzyme
B1B5I9	non Enzyme
P54659	non Enzyme
Q9BRK3	non Enzyme
Q9XW13	non Enzyme
O15816	non Enzyme
A5HNF6	non Enzyme
Q63862	non Enzyme
P08964	non Enzyme
Q0WNW4	non Enzyme
Q86AC8	non Enzyme
Q8TDC0	non Enzyme
Q02197	non Enzyme
Q84WP6	non Enzyme
O14253	non Enzyme
Q8IDR3	non Enzyme
Q26464	non Enzyme
P35416	non Enzyme
P86193	non Enzyme
P0DL50	non Enzyme
P19651	non Enzyme
P40314	non Enzyme
Q647I9	non Enzyme
Q86W28	non Enzyme
E7FDB3	non Enzyme
Q7T3Y0	non Enzyme
P0DI83	non Enzyme
P12945	non Enzyme
Q8GWK6	non Enzyme
P18272	non Enzyme
Q9UMX5	non Enzyme
Q8R2U2	non Enzyme
P83690	non Enzyme
F4I9E1	non Enzyme
Q5EAD3	non Enzyme
Q9NPC7	non Enzyme
Q9M2K0	non Enzyme
Q2US45	non Enzyme
A5DKH0	non Enzyme
Q99MZ6	non Enzyme
Q8GZD4	non Enzyme
P03521	non Enzyme
Q9P383	non Enzyme
O14513	non Enzyme
Q8RWA7	non Enzyme
P83313	non Enzyme
P56597	non Enzyme
O82238	non Enzyme
O95167	non Enzyme
Q9FLX7	non Enzyme
Q16718	non Enzyme
P35837	non Enzyme
F4JEI8	non Enzyme
P39186	non Enzyme
Q56351	non Enzyme
Q6ZI50	non Enzyme
E3P6S4	non Enzyme
Q5TZ18	non Enzyme
Q08229	non Enzyme
P52919	non Enzyme
O01763	non Enzyme
Q5ZJZ6	non Enzyme
Q6NZ07	non Enzyme
F1M2Z5	non Enzyme
Q9VCG4	non Enzyme
P46581	non Enzyme
O95178	non Enzyme
Q58EG3	non Enzyme
Q18192	non Enzyme
Q99MJ6	non Enzyme
P09133	non Enzyme
Q12387	non Enzyme
Q60362	non Enzyme
Q7M963	non Enzyme
Q9UHQ1	non Enzyme
Q6Q1R8	non Enzyme
O42202	non Enzyme
Q9HD90	non Enzyme
P30990	non Enzyme
Q2XWL3	non Enzyme
P27713	non Enzyme
D5ARW9	non Enzyme
Q02368	non Enzyme
P10215	non Enzyme
P17691	non Enzyme
O35684	non Enzyme
Q86UQ8	non Enzyme
O73630	non Enzyme
P54938	non Enzyme
Q9QZ23	non Enzyme
Q8W037	non Enzyme
Q8GT74	non Enzyme
G5EED4	non Enzyme
Q58CW4	non Enzyme
Q8IH00	non Enzyme
Q23497	non Enzyme
Q61983	non Enzyme
O97969	non Enzyme
Q7Z6K4	non Enzyme
Q6ZG85	non Enzyme
P24030	non Enzyme
P03134	non Enzyme
O43676	non Enzyme
O96000	non Enzyme
