Protein UniProt Acc.	EC Number
O74315	non Enzyme
P45889	non Enzyme
Q6NQJ7	non Enzyme
Q05809	non Enzyme
O16262	non Enzyme
P37613	non Enzyme
Q9T0D3	non Enzyme
Q93YN4	non Enzyme
P23812	non Enzyme
Q9JHJ0	non Enzyme
Q12765	non Enzyme
Q6ZPB5	non Enzyme
Q9C093	non Enzyme
Q62556	non Enzyme
O93348	non Enzyme
P52960	non Enzyme
Q9VML9	non Enzyme
O04660	non Enzyme
Q76DI2	non Enzyme
O94643	non Enzyme
Q9CAB6	non Enzyme
Q76I90	non Enzyme
O42817	non Enzyme
Q8BL03	non Enzyme
Q8MR37	non Enzyme
Q7SZS1	non Enzyme
Q7XJ96	non Enzyme
Q6P9B6	non Enzyme
O82277	non Enzyme
P16947	non Enzyme
Q9ZPW3	non Enzyme
Q2TBJ5	non Enzyme
Q9FM10	non Enzyme
Q9VJ87	non Enzyme
Q10R93	non Enzyme
P87112	non Enzyme
P12263	non Enzyme
Q9FWS9	non Enzyme
Q8LAU9	non Enzyme
Q8BLN6	non Enzyme
Q59X67	non Enzyme
Q6IF82	non Enzyme
Q9UC07	non Enzyme
Q2XVR7	non Enzyme
Q9C0A1	non Enzyme
Q5VW32	non Enzyme
P37568	non Enzyme
Q08624	non Enzyme
P63157	non Enzyme
Q62203	non Enzyme
Q9SX29	non Enzyme
Q9SF38	non Enzyme
Q99285	non Enzyme
Q04545	non Enzyme
Q16082	non Enzyme
A8K8V0	non Enzyme
Q8NGS2	non Enzyme
P82599	non Enzyme
Q5A6M0	non Enzyme
O35652	non Enzyme
Q9H341	non Enzyme
P59936	non Enzyme
P11722	non Enzyme
P01896	non Enzyme
P34522	non Enzyme
Q12232	non Enzyme
P81919	non Enzyme
P07965	non Enzyme
Q5USN8	non Enzyme
P22343	non Enzyme
P00144	non Enzyme
Q9DG81	non Enzyme
P40722	non Enzyme
Q5E915	non Enzyme
Q8IZ83	non Enzyme
Q86UP6	non Enzyme
Q93CA6	non Enzyme
P48504	non Enzyme
Q4QQM5	non Enzyme
P10228	non Enzyme
P53150	non Enzyme
Q8LFP9	non Enzyme
Q9VEC3	non Enzyme
Q9Y2Y1	non Enzyme
Q9V7U0	non Enzyme
P23369	non Enzyme
Q28377	non Enzyme
Q5ZEG0	non Enzyme
Q9Y0V2	non Enzyme
Q5ATP7	non Enzyme
P23502	non Enzyme
Q7K4B4	non Enzyme
P97799	non Enzyme
Q9YHV3	non Enzyme
P83430	non Enzyme
Q6ES51	non Enzyme
P48510	non Enzyme
Q79FE1	non Enzyme
Q9NL82	non Enzyme
Q8GUL2	non Enzyme
A3DBH0	non Enzyme
Q9NUY8	non Enzyme
Q94G17	non Enzyme
O32241	non Enzyme
Q9Y2S7	non Enzyme
Q6PCP7	non Enzyme
P43614	non Enzyme
Q99MI6	non Enzyme
Q9UIF3	non Enzyme
Q9PTJ3	non Enzyme
Q8GWQ6	non Enzyme
Q7M413	non Enzyme
Q9JIZ9	non Enzyme
B0R6A7	non Enzyme
P32767	non Enzyme
Q5WRU0	non Enzyme
P14176	non Enzyme
Q9LYU3	non Enzyme
Q9XUN9	non Enzyme
A1KXC4	non Enzyme
Q9H158	non Enzyme
Q8C4X1	non Enzyme
Q9UBS9	non Enzyme
Q8WZ64	non Enzyme
Q8TDN6	non Enzyme
Q08298	non Enzyme
Q6R5P0	non Enzyme
A6YCJ2	non Enzyme
Q307W7	non Enzyme
P43618	non Enzyme
Q8VHW2	non Enzyme
Q9BWC9	non Enzyme
Q9VE17	non Enzyme
Q12349	non Enzyme
Q9LZD3	non Enzyme
O74515	non Enzyme
P0DKU0	non Enzyme
P41698	non Enzyme
P36523	non Enzyme
P83268	non Enzyme
Q03944	non Enzyme
P20674	non Enzyme
Q9BT23	non Enzyme
Q8GYJ4	non Enzyme
Q9SJK3	non Enzyme
Q9ZWT2	non Enzyme
M1CZC0	non Enzyme
O60107	non Enzyme
Q96BH3	non Enzyme
P0CB05	non Enzyme
Q39608	non Enzyme
P25873	non Enzyme
P36417	non Enzyme
Q8L9X2	non Enzyme
Q02875	non Enzyme
P15585	non Enzyme
Q6ZN06	non Enzyme
P41260	non Enzyme
Q29288	non Enzyme
Q63918	non Enzyme
Q8N6L1	non Enzyme
Q8R4F0	non Enzyme
B4NBL5	non Enzyme
O74749	non Enzyme
Q56ZI2	non Enzyme
P34605	non Enzyme
Q9NZV7	non Enzyme
Q06103	non Enzyme
Q45340	non Enzyme
P03379	non Enzyme
O94744	non Enzyme
P86822	non Enzyme
Q01329	non Enzyme
Q8NGJ2	non Enzyme
Q6ZNB6	non Enzyme
Q2TVY7	non Enzyme
Q9CQK7	non Enzyme
Q8R1J9	non Enzyme
O15417	non Enzyme
Q7RTR8	non Enzyme
P33591	non Enzyme
Q8QZV2	non Enzyme
O33618	non Enzyme
Q15077	non Enzyme
P49640	non Enzyme
Q9XYS8	non Enzyme
P53939	non Enzyme
Q9W7R6	non Enzyme
P27485	non Enzyme
P21183	non Enzyme
Q5JTD0	non Enzyme
Q11183	non Enzyme
Q15546	non Enzyme
Q9SF09	non Enzyme
P50515	non Enzyme
P40965	non Enzyme
Q9FM68	non Enzyme
P08638	non Enzyme
Q9VYZ1	non Enzyme
O88532	non Enzyme
Q06891	non Enzyme
P31675	non Enzyme
Q12262	non Enzyme
P10849	non Enzyme
P39620	non Enzyme
Q56572	non Enzyme
Q90WY5	non Enzyme
P22853	non Enzyme
P32613	non Enzyme
Q8NEH6	non Enzyme
Q9LLC1	non Enzyme
Q08471	non Enzyme
O49484	non Enzyme
Q9SFV2	non Enzyme
Q18184	non Enzyme
P87179	non Enzyme
P24216	non Enzyme
A1A5H6	non Enzyme
Q8N461	non Enzyme
Q8I1Y0	non Enzyme
P24503	non Enzyme
P87048	non Enzyme
Q96DT0	non Enzyme
P52170	non Enzyme
Q96NZ9	non Enzyme
Q9NP74	non Enzyme
Q9NWA0	non Enzyme
Q8V3T9	non Enzyme
P40074	non Enzyme
B2RHG3	non Enzyme
Q6GLW1	non Enzyme
O74918	non Enzyme
Q99742	non Enzyme
Q5G1T1	non Enzyme
Q9C5T3	non Enzyme
P0C7W7	non Enzyme
Q20591	non Enzyme
P34348	non Enzyme
O75764	non Enzyme
P0C604	non Enzyme
Q8NE09	non Enzyme
Q96DV4	non Enzyme
Q8T9R8	non Enzyme
Q8NDV2	non Enzyme
Q9BWU0	non Enzyme
Q10669	non Enzyme
P00115	non Enzyme
O60359	non Enzyme
Q96DW6	non Enzyme
P02814	non Enzyme
Q41906	non Enzyme
B8H610	non Enzyme
Q9LYK2	non Enzyme
Q7YZT0	non Enzyme
Q9XI33	non Enzyme
P25580	non Enzyme
Q19351	non Enzyme
Q8JGS1	non Enzyme
Q5CZ52	non Enzyme
Q9NNX1	non Enzyme
Q3J144	non Enzyme
P0C022	non Enzyme
P17883	non Enzyme
P25574	non Enzyme
Q8LIN5	non Enzyme
P09491	non Enzyme
P25638	non Enzyme
Q9SI15	non Enzyme
Q4ZIN3	non Enzyme
Q8CHG3	non Enzyme
Q8C419	non Enzyme
O60137	non Enzyme
Q09930	non Enzyme
O07776	non Enzyme
A1ZAX0	non Enzyme
Q8ZQC8	non Enzyme
P80102	non Enzyme
Q9Z320	non Enzyme
P41930	non Enzyme
Q2KJD2	non Enzyme
Q9BZW2	non Enzyme
Q7M732	non Enzyme
P39881	non Enzyme
Q54PY7	non Enzyme
P50106	non Enzyme
A2APV2	non Enzyme
Q99382	non Enzyme
P46897	non Enzyme
Q5SM23	non Enzyme
Q9JK15	non Enzyme
O32221	non Enzyme
P59538	non Enzyme
Q9R0M3	non Enzyme
A6NKB5	non Enzyme
Q9FLX8	non Enzyme
Q9QZE9	non Enzyme
Q9ZVL6	non Enzyme
Q5AA40	non Enzyme
Q9VC61	non Enzyme
Q9D1G1	non Enzyme
P92990	non Enzyme
Q9VIQ9	non Enzyme
P32541	non Enzyme
P81397	non Enzyme
P35979	non Enzyme
Q9YH12	non Enzyme
O17071	non Enzyme
O75323	non Enzyme
Q8IUC0	non Enzyme
Q76KJ5	non Enzyme
Q9XVN3	non Enzyme
P54357	non Enzyme
O59753	non Enzyme
O81742	non Enzyme
Q19569	non Enzyme
Q8S2T0	non Enzyme
O43193	non Enzyme
Q93743	non Enzyme
Q55AR6	non Enzyme
Q9SJ52	non Enzyme
O75012	non Enzyme
Q9VP47	non Enzyme
P04405	non Enzyme
Q06328	non Enzyme
P28518	non Enzyme
Q28623	non Enzyme
O75388	non Enzyme
Q9VAD6	non Enzyme
P0DJ08	non Enzyme
Q66613	non Enzyme
Q9QZ15	non Enzyme
Q96273	non Enzyme
Q9LYQ4	non Enzyme
Q96S79	non Enzyme
Q8RWA5	non Enzyme
Q8LC03	non Enzyme
Q7K4V4	non Enzyme
A0A0H2VAP9	non Enzyme
Q9T043	non Enzyme
Q7KQL3	non Enzyme
Q9LSQ2	non Enzyme
Q6NKN9	non Enzyme
Q9LG05	non Enzyme
Q9SMH4	non Enzyme
O14464	non Enzyme
Q0VAM2	non Enzyme
O02826	non Enzyme
Q04511	non Enzyme
Q99677	non Enzyme
Q6ZMV9	non Enzyme
P32522	non Enzyme
Q9NVR7	non Enzyme
Q3E7C1	non Enzyme
Q02509	non Enzyme
Q8VBS7	non Enzyme
O94325	non Enzyme
Q9H7T9	non Enzyme
P35102	non Enzyme
Q22328	non Enzyme
O59734	non Enzyme
Q12872	non Enzyme
Q9SRH9	non Enzyme
Q9W3F7	non Enzyme
P78714	non Enzyme
P28797	non Enzyme
Q920G3	non Enzyme
Q9FMH6	non Enzyme
Q00361	non Enzyme
O60306	non Enzyme
Q8IZC7	non Enzyme
Q6ZPK7	non Enzyme
Q9XIC5	non Enzyme
P54611	non Enzyme
Q9JJC8	non Enzyme
O60158	non Enzyme
Q9M8J9	non Enzyme
Q8N729	non Enzyme
Q10205	non Enzyme
Q9H3E2	non Enzyme
P17727	non Enzyme
P07634	non Enzyme
Q8BMI3	non Enzyme
Q9XH37	non Enzyme
Q9LPV8	non Enzyme
Q4G163	non Enzyme
Q6NVC9	non Enzyme
P08423	non Enzyme
Q9DDN6	non Enzyme
Q8LDD3	non Enzyme
Q7YR37	non Enzyme
P38266	non Enzyme
C1IC47	non Enzyme
Q9V3Q2	non Enzyme
Q9USM4	non Enzyme
Q9M0I2	non Enzyme
P28186	non Enzyme
Q9VLU4	non Enzyme
P85065	non Enzyme
P16749	non Enzyme
P60983	non Enzyme
Q86WH2	non Enzyme
Q9STX9	non Enzyme
A7XQ02	non Enzyme
P13434	non Enzyme
P79138	non Enzyme
Q8BUE7	non Enzyme
P32831	non Enzyme
O13858	non Enzyme
E9PAV3	non Enzyme
Q9XUB9	non Enzyme
Q02521	non Enzyme
P43302	non Enzyme
O35893	non Enzyme
Q13103	non Enzyme
Q9NWB6	non Enzyme
P83434	non Enzyme
Q9FX64	non Enzyme
P55823	non Enzyme
P47130	non Enzyme
Q7TQ48	non Enzyme
Q5JSZ5	non Enzyme
P0C788	non Enzyme
P05626	non Enzyme
Q9LU89	non Enzyme
Q9N425	non Enzyme
P55885	non Enzyme
Q65DC4	non Enzyme
Q9UTC0	non Enzyme
Q95N01	non Enzyme
Q90953	non Enzyme
P09258	non Enzyme
Q9NX07	non Enzyme
Q9P003	non Enzyme
Q9VIM5	non Enzyme
O82337	non Enzyme
O74508	non Enzyme
P34418	non Enzyme
O75427	non Enzyme
Q5GC94	non Enzyme
Q8GSI0	non Enzyme
P0CC15	non Enzyme
P50565	non Enzyme
P08194	non Enzyme
F4JC97	non Enzyme
P09256	non Enzyme
P41846	non Enzyme
P59924	non Enzyme
Q8IVW1	non Enzyme
Q8NDN9	non Enzyme
Q949R9	non Enzyme
Q8NG48	non Enzyme
Q9NUA8	non Enzyme
P11829	non Enzyme
P25382	non Enzyme
P70566	non Enzyme
P0DKJ7	non Enzyme
Q14592	non Enzyme
Q9CQV7	non Enzyme
Q8K467	non Enzyme
G4RT11	non Enzyme
Q944S9	non Enzyme
Q8L719	non Enzyme
O74499	non Enzyme
Q86UU1	non Enzyme
O13880	non Enzyme
Q04006	non Enzyme
Q39182	non Enzyme
Q39083	non Enzyme
Q9UU91	non Enzyme
F4JN26	non Enzyme
P15710	non Enzyme
O95475	non Enzyme
Q03466	non Enzyme
P31376	non Enzyme
P01379	non Enzyme
Q8LK93	non Enzyme
Q06A28	non Enzyme
Q9Z1V0	non Enzyme
Q6UX73	non Enzyme
Q9C6A1	non Enzyme
Q5AFV3	non Enzyme
Q9BX70	non Enzyme
Q8WWG9	non Enzyme
Q8W117	non Enzyme
O74428	non Enzyme
Q01978	non Enzyme
Q5DTY9	non Enzyme
Q8BTE6	non Enzyme
Q9P7X2	non Enzyme
P11069	non Enzyme
Q12234	non Enzyme
Q6BCL1	non Enzyme
P20047	non Enzyme
P84385	non Enzyme
B2MW54	non Enzyme
P39077	non Enzyme
Q9LJD7	non Enzyme
Q9BPV8	non Enzyme
P02602	non Enzyme
Q5UE90	non Enzyme
O88472	non Enzyme
Q9M5J8	non Enzyme
P11732	non Enzyme
P40228	non Enzyme
O88888	non Enzyme
Q9P795	non Enzyme
P37217	non Enzyme
Q96N95	non Enzyme
F4K4J0	non Enzyme
Q36099	non Enzyme
O00534	non Enzyme
O14239	non Enzyme
Q9P7K8	non Enzyme
Q7KPA5	non Enzyme
Q23989	non Enzyme
Q99P77	non Enzyme
Q06208	non Enzyme
P07470	non Enzyme
Q8R1H8	non Enzyme
Q9Y0V6	non Enzyme
Q45588	non Enzyme
P10906	non Enzyme
Q9SV87	non Enzyme
P83399	non Enzyme
Q1XI86	non Enzyme
Q6ICG8	non Enzyme
P53940	non Enzyme
Q9BZD6	non Enzyme
Q92351	non Enzyme
O34814	non Enzyme
Q6X6Z7	non Enzyme
P17662	non Enzyme
Q9V5Z7	non Enzyme
Q03375	non Enzyme
P01006	non Enzyme
Q45560	non Enzyme
Q28362	non Enzyme
P83413	non Enzyme
Q9Y2U2	non Enzyme
A6QL29	non Enzyme
P13468	non Enzyme
Q5SML5	non Enzyme
Q6UXI7	non Enzyme
P85511	non Enzyme
P40020	non Enzyme
Q9SK02	non Enzyme
P04344	non Enzyme
P30690	non Enzyme
Q21339	non Enzyme
Q02004	non Enzyme
O49048	non Enzyme
Q8WQ85	non Enzyme
Q9TRM8	non Enzyme
Q9SDM1	non Enzyme
Q9XIK3	non Enzyme
P10221	non Enzyme
P40038	non Enzyme
Q03246	non Enzyme
Q8TBF5	non Enzyme
P98107	non Enzyme
P14276	non Enzyme
P38843	non Enzyme
Q5A5U9	non Enzyme
P87058	non Enzyme
Q93XX2	non Enzyme
G5EBU4	non Enzyme
Q9JL25	non Enzyme
O15974	non Enzyme
Q9HAV7	non Enzyme
Q54R74	non Enzyme
P40468	non Enzyme
Q9BXJ8	non Enzyme
Q9ESY6	non Enzyme
Q8NGI2	non Enzyme
A6NGQ2	non Enzyme
O70137	non Enzyme
Q9NP64	non Enzyme
P94846	non Enzyme
Q5HKQ1	non Enzyme
P93013	non Enzyme
P17032	non Enzyme
Q9Y2B1	non Enzyme
P85215	non Enzyme
P13989	non Enzyme
Q39067	non Enzyme
Q9LTK3	non Enzyme
Q8LGD5	non Enzyme
Q921C1	non Enzyme
Q6UXT8	non Enzyme
Q9NVZ3	non Enzyme
P82921	non Enzyme
F4J7T3	non Enzyme
Q9VP05	non Enzyme
H2LBU8	non Enzyme
Q6Z312	non Enzyme
P28224	non Enzyme
Q3MJ62	non Enzyme
Q0ZCJ7	non Enzyme
P10379	non Enzyme
Q68SN8	non Enzyme
P18013	non Enzyme
Q5XKP0	non Enzyme
Q03860	non Enzyme
P25886	non Enzyme
Q38851	non Enzyme
Q95NK7	non Enzyme
Q69572	non Enzyme
Q8PXY1	non Enzyme
P76086	non Enzyme
Q6VTH5	non Enzyme
P34161	non Enzyme
Q96BR5	non Enzyme
A4LBC0	non Enzyme
Q641Q3	non Enzyme
P54931	non Enzyme
Q9VNZ8	non Enzyme
Q10290	non Enzyme
P86942	non Enzyme
G3ETQ3	non Enzyme
Q84WI0	non Enzyme
P83371	non Enzyme
Q9BRP4	non Enzyme
P04288	non Enzyme
O59773	non Enzyme
P12872	non Enzyme
Q07342	non Enzyme
Q9SIA8	non Enzyme
D0EL35	non Enzyme
P39056	non Enzyme
P0C0W1	non Enzyme
P53322	non Enzyme
Q9LFU0	non Enzyme
Q9SIJ0	non Enzyme
Q3T075	non Enzyme
P25403	non Enzyme
P50944	non Enzyme
Q14C87	non Enzyme
O18796	non Enzyme
P74155	non Enzyme
Q9SRK7	non Enzyme
O27636	non Enzyme
P42580	non Enzyme
Q09463	non Enzyme
P08136	non Enzyme
P36418	non Enzyme
Q6PII3	non Enzyme
Q04360	non Enzyme
Q9VUC6	non Enzyme
O74503	non Enzyme
Q06849	non Enzyme
P40555	non Enzyme
P95339	non Enzyme
Q6QNU9	non Enzyme
Q9XWS0	non Enzyme
Q9U9K0	non Enzyme
Q7K4B3	non Enzyme
Q9LVC0	non Enzyme
Q84TK1	non Enzyme
Q8TAQ5	non Enzyme
P00154	non Enzyme
P09905	non Enzyme
B0R4K1	non Enzyme
O60187	non Enzyme
Q9HFW7	non Enzyme
P76773	non Enzyme
Q9MAC5	non Enzyme
Q8ND30	non Enzyme
Q3ZCX4	non Enzyme
Q64345	non Enzyme
Q9ZQX4	non Enzyme
P15340	non Enzyme
Q5A3Z6	non Enzyme
Q3T478	non Enzyme
P0DJL7	non Enzyme
P62955	non Enzyme
Q20123	non Enzyme
O01840	non Enzyme
Q80W85	non Enzyme
Q81BL7	non Enzyme
P40576	non Enzyme
Q25060	non Enzyme
Q9UHA3	non Enzyme
Q6L8H4	non Enzyme
O46202	non Enzyme
P47128	non Enzyme
Q5E9B7	non Enzyme
Q9VAI6	non Enzyme
P85231	non Enzyme
Q96BW1	non Enzyme
F5HB81	non Enzyme
P14220	non Enzyme
P13430	non Enzyme
Q9C635	non Enzyme
Q08DN6	non Enzyme
Q9JMG1	non Enzyme
P00415	non Enzyme
O35505	non Enzyme
P63111	non Enzyme
P47108	non Enzyme
O82629	non Enzyme
Q21065	non Enzyme
P06024	non Enzyme
Q01133	non Enzyme
X5JB51	non Enzyme
Q41969	non Enzyme
O95231	non Enzyme
P35365	non Enzyme
Q9UN79	non Enzyme
Q67XJ2	non Enzyme
Q09793	non Enzyme
P03682	non Enzyme
Q9FKN7	non Enzyme
Q945P1	non Enzyme
P60059	non Enzyme
Q8R460	non Enzyme
P91853	non Enzyme
P68202	non Enzyme
P15523	non Enzyme
Q8T3U2	non Enzyme
P20385	non Enzyme
Q9Y2R5	non Enzyme
Q9NVK5	non Enzyme
Q01501	non Enzyme
P50049	non Enzyme
P53214	non Enzyme
Q9BWX1	non Enzyme
Q9C6E4	non Enzyme
O23049	non Enzyme
O75964	non Enzyme
Q28083	non Enzyme
O94439	non Enzyme
P0A3F4	non Enzyme
O49931	non Enzyme
P53313	non Enzyme
Q45GQ7	non Enzyme
A6QNW6	non Enzyme
P15265	non Enzyme
P87368	non Enzyme
Q8GUM2	non Enzyme
Q8L7Z3	non Enzyme
Q7KRW8	non Enzyme
Q8NFW1	non Enzyme
Q08817	non Enzyme
Q0D2J5	non Enzyme
O14310	non Enzyme
Q5Y4V3	non Enzyme
P07316	non Enzyme
P12327	non Enzyme
Q9NDE7	non Enzyme
P79943	non Enzyme
P12108	non Enzyme
Q9FM65	non Enzyme
P30860	non Enzyme
P04134	non Enzyme
Q9P380	non Enzyme
Q9U4H5	non Enzyme
P40452	non Enzyme
Q980G0	non Enzyme
Q86TS9	non Enzyme
O60070	non Enzyme
Q924Y8	non Enzyme
P10190	non Enzyme
Q9SZE4	non Enzyme
P81451	non Enzyme
Q1JV40	non Enzyme
P56785	non Enzyme
Q9LJI5	non Enzyme
Q9BPA9	non Enzyme
P38865	non Enzyme
Q68RJ5	non Enzyme
Q3UJF0	non Enzyme
P42165	non Enzyme
Q9PRJ8	non Enzyme
Q9SCY5	non Enzyme
Q9VM09	non Enzyme
Q3ZN08	non Enzyme
Q94A57	non Enzyme
Q06525	non Enzyme
Q8CA03	non Enzyme
P15954	non Enzyme
P54244	non Enzyme
A6QL63	non Enzyme
Q9BSR8	non Enzyme
O34594	non Enzyme
P30843	non Enzyme
Q8T697	non Enzyme
P84902	non Enzyme
Q8WTC1	non Enzyme
Q08484	non Enzyme
Q9NXX6	non Enzyme
P00121	non Enzyme
P00096	non Enzyme
O75830	non Enzyme
Q9BYB4	non Enzyme
Q8NFU3	non Enzyme
P53280	non Enzyme
P81245	non Enzyme
Q8GWJ6	non Enzyme
P30805	non Enzyme
P21658	non Enzyme
P04864	non Enzyme
O60159	non Enzyme
Q9BSB4	non Enzyme
Q9VIL0	non Enzyme
P32527	non Enzyme
Q9NXR8	non Enzyme
Q91WB2	non Enzyme
P01594	non Enzyme
O60763	non Enzyme
Q60943	non Enzyme
P05205	non Enzyme
Q9M841	non Enzyme
Q15398	non Enzyme
Q9BQ70	non Enzyme
Q9D0P8	non Enzyme
Q2LKU9	non Enzyme
Q99NH2	non Enzyme
Q16585	non Enzyme
P38862	non Enzyme
Q01167	non Enzyme
P48788	non Enzyme
Q8W2F3	non Enzyme
G5EC86	non Enzyme
O14511	non Enzyme
Q99471	non Enzyme
O75581	non Enzyme
B7UM99	non Enzyme
P14753	non Enzyme
Q19317	non Enzyme
Q9P2E2	non Enzyme
Q9XTB5	non Enzyme
P38251	non Enzyme
Q9FN48	non Enzyme
P04578	non Enzyme
P27514	non Enzyme
P41091	non Enzyme
P00046	non Enzyme
Q9BZS1	non Enzyme
Q8K4J2	non Enzyme
P10823	non Enzyme
P78316	non Enzyme
Q9XFH8	non Enzyme
O61735	non Enzyme
Q7Z3C6	non Enzyme
P02696	non Enzyme
O08746	non Enzyme
Q9M0L0	non Enzyme
Q96JG6	non Enzyme
P63096	non Enzyme
Q8RXD5	non Enzyme
P39960	non Enzyme
Q1ELU3	non Enzyme
O00203	non Enzyme
Q01650	non Enzyme
Q9DXE6	non Enzyme
Q02732	non Enzyme
Q92838	non Enzyme
P55067	non Enzyme
Q99966	non Enzyme
P05141	non Enzyme
O75419	non Enzyme
P41412	non Enzyme
Q8TAD8	non Enzyme
Q8K3Y3	non Enzyme
Q14185	non Enzyme
Q8CJI4	non Enzyme
P04689	non Enzyme
Q24251	non Enzyme
Q8NHX9	non Enzyme
P03243	non Enzyme
Q24151	non Enzyme
Q8CGW9	non Enzyme
Q8IWX8	non Enzyme
Q8VZS9	non Enzyme
P70248	non Enzyme
P35237	non Enzyme
Q96K30	non Enzyme
Q5BJ29	non Enzyme
Q8IUX1	non Enzyme
Q9P2H0	non Enzyme
P47093	non Enzyme
Q96A57	non Enzyme
O81445	non Enzyme
P29536	non Enzyme
Q8NEV9	non Enzyme
Q9R216	non Enzyme
Q9HCS7	non Enzyme
P35191	non Enzyme
P9WJV5	non Enzyme
Q96QG7	non Enzyme
P36130	non Enzyme
P97812	non Enzyme
Q5ALV2	non Enzyme
Q12361	non Enzyme
P09077	non Enzyme
Q8TD31	non Enzyme
Q9VNE2	non Enzyme
Q9Y376	non Enzyme
P98078	non Enzyme
Q9NVH2	non Enzyme
P41932	non Enzyme
Q9Y2J2	non Enzyme
P29055	non Enzyme
P53855	non Enzyme
O60667	non Enzyme
Q16514	non Enzyme
Q06481	non Enzyme
P31785	non Enzyme
P51151	non Enzyme
Q09917	non Enzyme
P03522	non Enzyme
P47979	non Enzyme
Q8NFT6	non Enzyme
Q16656	non Enzyme
P71086	non Enzyme
Q8WWY3	non Enzyme
Q56WH4	non Enzyme
Q7S743	non Enzyme
Q9Y561	non Enzyme
P01572	non Enzyme
O95393	non Enzyme
Q9UI09	non Enzyme
P18887	non Enzyme
Q08050	non Enzyme
P54775	non Enzyme
Q9NP62	non Enzyme
Q8IVF2	non Enzyme
Q9P0W2	non Enzyme
Q9HDB5	non Enzyme
O14613	non Enzyme
P78395	non Enzyme
Q9HBB8	non Enzyme
P48164	non Enzyme
Q8GXN9	non Enzyme
G5ECU1	non Enzyme
Q99JX7	non Enzyme
P32495	non Enzyme
P32343	non Enzyme
Q5JPE7	non Enzyme
Q9NP61	non Enzyme
P15215	non Enzyme
P09429	non Enzyme
Q02788	non Enzyme
P09259	non Enzyme
O80800	non Enzyme
P34684	non Enzyme
P21691	non Enzyme
Q9SJH0	non Enzyme
Q02794	non Enzyme
Q9BRG2	non Enzyme
P38261	non Enzyme
P27274	non Enzyme
Q59X49	non Enzyme
C0HJD3	non Enzyme
Q8GYD2	non Enzyme
Q86UU0	non Enzyme
P92964	non Enzyme
P54107	non Enzyme
P14079	non Enzyme
Q96N77	non Enzyme
Q15072	non Enzyme
Q6UXN8	non Enzyme
P24940	non Enzyme
Q9HB29	non Enzyme
P16655	non Enzyme
Q15582	non Enzyme
Q13790	non Enzyme
P83876	non Enzyme
Q9WUS4	non Enzyme
Q940Y5	non Enzyme
Q9P0K7	non Enzyme
Q8N697	non Enzyme
Q04410	non Enzyme
P27816	non Enzyme
P02835	non Enzyme
Q8TD07	non Enzyme
Q09826	non Enzyme
P59190	non Enzyme
P56945	non Enzyme
P60324	non Enzyme
P10105	non Enzyme
P10505	non Enzyme
Q5VTD9	non Enzyme
Q9HC52	non Enzyme
Q8IWT3	non Enzyme
P22272	non Enzyme
Q8R3S2	non Enzyme
O43614	non Enzyme
P03502	non Enzyme
Q9VXN9	non Enzyme
Q9C667	non Enzyme
Q940X9	non Enzyme
Q6IEQ7	non Enzyme
Q13459	non Enzyme
