Protein UniProt Acc.	EC Number
Q828S5	1.13.11.5
Q4UZI9	1.13.11.5
Q2NYM7	1.13.11.5
Q9R098	3.4.21.-
Q68CP4	2.3.1.78
P51900	2.4.2.22; 2.4.2.8
P40235	2.7.11.1
Q8QZS1	3.1.2.4
Q28FR6	3.1.2.4
Q7A225	3.1.-.-
Q8FHF4	2.7.11.1
P23874	2.7.11.1
Q8NE63	2.7.11.1
Q8T0S6	2.7.11.1
A7HI48	2.4.2.17
O67543	2.4.2.17
Q75AK8	2.4.2.17
B7IN98	2.4.2.17
A7GMU5	2.4.2.17
Q63DX3	2.4.2.17
Q6HLE8	2.4.2.17
Q2KTT7	2.4.2.17
Q89DB4	2.4.2.17
B2SCY9	2.4.2.17
C0RKC9	2.4.2.17
Q8FX92	2.4.2.17
P59453	2.4.2.17
Q9A2P5	2.4.2.17
Q3B6A2	2.4.2.17
A4SCX0	2.4.2.17
Q7P0F7	2.4.2.17
A7GDQ1	2.4.2.17
A5N7Q5	2.4.2.17
A9KNX6	2.4.2.17
P60803	2.4.2.17
Q9Z472	2.4.2.17
C4LIL5	2.4.2.17
Q46WL1	2.4.2.17
B8HQZ8	2.4.2.17
Q11TY6	2.4.2.17
Q1J0A0	2.4.2.17
A1VHE4	2.4.2.17
A7ZNJ1	2.4.2.17
B7MDH3	2.4.2.17
Q8X8T4	2.4.2.17
C1A4M2	2.4.2.17
Q5KVC5	2.4.2.17
C6E7G0	2.4.2.17
A5G6I5	2.4.2.17
B0R7E9	2.4.2.17
A4G9J2	2.4.2.17
B5XPE8	2.4.2.17
B3WED6	2.4.2.17
Q88UD9	2.4.2.17
B1HVP7	2.4.2.17
A1U458	2.4.2.17
Q8TU56	2.4.2.17
Q8TYD5	2.4.2.17
P64346	2.4.2.17
B4SCC0	2.4.2.17
A8G3S5	2.4.2.17
B4ET04	2.4.2.17
B7UZY8	2.4.2.17
B8H6U1	2.4.2.17
Q3KHZ3	2.4.2.17
Q87WV4	2.4.2.17
Q8ZY36	2.4.2.17
A1RTU8	2.4.2.17
B3PRB1	2.4.2.17
Q987S8	2.4.2.17
C0ZZV7	2.4.2.17
Q0SIE9	2.4.2.17
A4FBW8	2.4.2.17
B5FM40	2.4.2.17
B4T9N3	2.4.2.17
B5BFC1	2.4.2.17
Q4A043	2.4.2.17
B4STN6	2.4.2.17
Q03K77	2.4.2.17
Q67KH5	2.4.2.17
Q4J8J2	2.4.2.17
Q55503	2.4.2.17
Q5JFR6	2.4.2.17
B6YWA4	2.4.2.17
Q7M9N0	2.4.2.17
B0RSL3	2.4.2.17
B2I5Y2	2.4.2.17
Q4UU39	2.4.2.17
Q1C9Q9	2.4.2.17
A9R2K3	2.4.2.17
Q0VMA1	3.6.1.31
O82768	3.5.4.19; 3.6.1.31
C3L9P5	3.6.1.31
P62346	3.6.1.31
B7HKD6	3.6.1.31
Q81G00	3.6.1.31
Q8A7Z7	3.5.4.19; 3.6.1.31
A1A1J2	3.6.1.31
Q2YQY7	3.6.1.31
Q1BS33	3.6.1.31
A0K3W0	3.6.1.31
Q0BIW2	3.6.1.31
Q845U5	3.6.1.31
A3P025	3.6.1.31
Q63Q94	3.6.1.31
B8GW16	3.6.1.31
Q11CK6	3.6.1.31
A5CRW4	3.6.1.31
C3PG92	3.6.1.31
Q9RWD6	3.5.4.19; 3.6.1.31
Q9S5G3	3.5.4.19; 3.6.1.31
Q2N8I9	3.6.1.31
B3E616	3.6.1.31
Q7NLB5	3.5.4.19; 3.6.1.31
A6T374	3.6.1.31
Q92E90	3.6.1.31
Q8Y9G7	3.6.1.31
A1U671	3.6.1.31
Q0W1M3	3.6.1.31
A0QZX2	3.6.1.31
P9WMM8	3.6.1.31
A1TAR6	3.6.1.31
Q5FA47	3.6.1.31
A6WX51	3.6.1.31
Q13TR2	3.6.1.31
B7V3G0	3.6.1.31
Q4KJL6	3.6.1.31
B0KM40	3.6.1.31
Q87UY8	3.6.1.31
A4WHB4	3.6.1.31
P58853	3.5.4.19; 3.6.1.31
A1RTU9	3.6.1.31
Q7URL1	3.6.1.31
Q21U89	3.6.1.31
Q2RNA8	3.6.1.31
B9KPC7	3.6.1.31
P10367	3.5.4.19; 3.6.1.31
Q8EFB6	3.5.4.19; 3.6.1.31
Q3Z0F9	3.5.4.19; 3.6.1.31
A5V9F7	3.6.1.31
P64356	3.5.4.19; 3.6.1.31
A6UEK2	3.6.1.31
Q827L8	3.6.1.31
B1W4A6	3.6.1.31
C3N6A4	3.6.1.31
C3NGY3	3.6.1.31
Q7U635	3.5.4.19; 3.6.1.31
C3MQI3	3.6.1.31
Q31E63	3.6.1.31
Q7MAQ8	3.5.4.19; 3.6.1.31
Q3JN03	3.5.4.19
B8GZS0	3.5.4.19
Q3AT43	3.5.4.19
A5CRW1	3.5.4.19
Q97KH7	3.5.4.19
A6LT23	3.5.4.19
B1ILB1	3.5.4.19
A4QFF8	3.5.4.19
Q1LIB3	3.5.4.19
Q47AM4	3.5.4.19
Q30VD6	3.5.4.19
A1VHE5	3.5.4.19
Q0RFX5	3.5.4.19
A5G6I6	3.5.4.19
A1WXS8	3.5.4.19
Q9HN23	3.5.4.19
Q92E89	3.5.4.19
A1U670	3.5.4.19
Q465C4	3.5.4.19
Q1H4R1	3.5.4.19
Q58825	3.5.4.19
A9A817	3.5.4.19
A3CX32	3.5.4.19
A5UMF9	3.5.4.19
P0A5B4	3.5.4.19
B8ZRB5	3.5.4.19
A0QX88	3.5.4.19
P9WMM6	3.5.4.19
A1T8W8	3.5.4.19
A1KSN5	3.5.4.19
Q2YAV1	3.5.4.19
A5CZ72	3.5.4.19
B4S4Y9	3.5.4.19
Q48PJ7	3.5.4.19
Q98LQ5	3.5.4.19
B6IMI3	3.5.4.19
Q21U90	3.5.4.19
Q2IY19	3.5.4.19
Q212N1	3.5.4.19
B3QE24	3.5.4.19
A4WRQ0	3.5.4.19
Q5LST2	3.5.4.19
Q2S3T1	3.5.4.19
Q1GSW9	3.5.4.19
A8AY23	3.5.4.19
Q03K83	3.5.4.19
A0LQM0	3.5.4.19
Q82A89	3.5.4.19
Q7N6I4	5.3.1.16
Q7N8D1	5.3.1.16
A1TKZ3	5.3.1.16
B0VPB7	5.3.1.16
A5FYE4	5.3.1.16
B7GVK1	5.3.1.16
Q75AP1	5.3.1.16
A0RBM1	5.3.1.16
B7JFZ4	5.3.1.16
C1EMQ6	5.3.1.16
A7GMU9	5.3.1.16
Q63DW9	5.3.1.16
Q9K6Z5	5.3.1.16
Q65EG2	5.3.1.16
A6L6Z1	5.3.1.16
B3DQA4	5.3.1.16
Q494D7	5.3.1.16
Q7W2Y0	5.3.1.16
A5E8E8	5.3.1.16
Q8FY08	5.3.1.16
B8D710	5.3.1.16
Q1BS30	5.3.1.16
Q0BIW5	5.3.1.16
A3MPU5	5.3.1.16
Q62GE4	5.3.1.16
Q63Q91	5.3.1.16
A4XL21	5.3.1.16
A0RQL2	5.3.1.16
A7H5V3	5.3.1.16
Q5HSJ0	5.3.1.16
B0T799	5.3.1.16
Q3B287	5.3.1.16
B9LI75	5.3.1.16
Q7P0F0	5.3.1.16
A6LT21	5.3.1.16
A7GDQ5	5.3.1.16
Q97KH9	5.3.1.16
Q47XB4	5.3.1.16
Q8FNZ7	5.3.1.16
Q4JW54	5.3.1.16
Q1LIB1	5.3.1.16
B8HY50	5.3.1.16
Q6BUV9	5.3.1.16
Q1IWD2	5.3.1.16
C6BSE3	5.3.1.16
B1I557	5.3.1.16
Q24QJ4	5.3.1.16
B8DNB4	5.3.1.16
A7ZNJ6	5.3.1.16
B7L9Q1	5.3.1.16
B7NQG6	5.3.1.16
B1X6W1	5.3.1.16
Q0TG63	5.3.1.16
B7NC64	5.3.1.16
Q1RA49	5.3.1.16
A4WC73	5.3.1.16
Q2N8I7	5.3.1.16
A6GY76	5.3.1.16
Q2J8L2	5.3.1.16
B9M0L9	5.3.1.16
A5FFX7	5.3.1.16
P62354	5.3.1.16
Q0AP83	5.3.1.16
Q8TU55	5.3.1.16
Q1H4R3	5.3.1.16
A2SQR0	5.3.1.16
Q8PWS2	5.3.1.16
B8GJY2	5.3.1.16
O26931	5.3.1.16
P9WMM4	5.3.1.16; 5.3.1.24
Q1QRX1	5.3.1.16
Q3J6Q2	5.3.1.16
B4ESZ9	5.3.1.16
A2BQT3	5.3.1.16
Q48C80	5.3.1.16
Q15RU5	5.3.1.16
Q1I3G7	5.3.1.16
C3K6V2	5.3.1.16
Q9HU43	5.3.1.16
Q87UG3	5.3.1.16
A4VRW0	5.3.1.16
Q4FPV8	5.3.1.16
B2UEE6	5.3.1.16
A9WQA3	5.3.1.16
Q1MNC1	5.3.1.16
B5ZV92	5.3.1.16
Q7UG70	5.3.1.16
Q21U92	5.3.1.16
Q07UQ8	5.3.1.16
Q13E39	5.3.1.16
A4WUS7	5.3.1.16
A3PI63	5.3.1.16
B5EX43	5.3.1.16
Q57MR9	5.3.1.16
B5RBR6	5.3.1.16
A1S6Z5	5.3.1.16
Q12NS9	5.3.1.16
A3QF20	5.3.1.16
B8CR53	5.3.1.16
B2TYF6	5.3.1.16
Q32EF3	5.3.1.16
A5IWA1	5.3.1.16
Q5HCM3	5.3.1.16
Q6GDD0	5.3.1.16
Q8NUI2	5.3.1.16
Q8CQ93	5.3.1.16
B1W0M4	5.3.1.16; 5.3.1.24
O33772	5.3.1.16
Q2JK82	5.3.1.16
A5GKX4	5.3.1.16
Q0I9E5	5.3.1.16
Q0AW40	5.3.1.16
Q8DMA5	5.3.1.16
Q47QS4	5.3.1.16
B9K9S2	5.3.1.16
Q9RPQ5	5.3.1.16
B0K628	5.3.1.16
B1L872	5.3.1.16
B5YIB4	5.3.1.16
C4LFI3	5.3.1.16
A1WR23	5.3.1.16
B5FDA3	5.3.1.16
Q7MLS2	5.3.1.16
Q87C33	5.3.1.16
P40545	5.3.1.16
Q8ZFX9	5.3.1.16
B0U3A9	5.3.1.16
O28019	2.4.2.-
C3L9P9	2.4.2.-
B7HHG3	2.4.2.-
A7GMU8	2.4.2.-
Q63DX0	2.4.2.-
Q9K6Z4	2.4.2.-
Q5WDI0	2.4.2.-
A9VLH5	2.4.2.-
Q84I55	2.4.2.-
Q845U9	2.4.2.-
P57204	2.4.2.-
P60598	2.4.2.-
Q4JW55	2.4.2.-
Q9TLQ8	2.4.2.-
B8HUR1	2.4.2.-
Q3Z7F2	2.4.2.-
P61779	2.4.2.-
P58237	2.4.2.-
B1YL11	2.4.2.-
Q5QWQ7	2.4.2.-
Q02132	2.4.2.-
Q6AE14	2.4.2.-
P59118	2.4.2.-
B8DA60	2.4.2.-
A0AG17	2.4.2.-
Q8TS91	2.4.2.-
Q465U3	2.4.2.-
Q8PVD5	2.4.2.-
P59957	2.4.2.-
P9WMM0	2.4.2.-
Q9JVH3	2.4.2.-
Q3J6Q3	2.4.2.-
Q8ESS0	2.4.2.-
Q3A135	2.4.2.-
Q7N6I3	2.4.2.-
Q8ZY40	2.4.2.-
A9WQ58	2.4.2.-
Q7ULP3	2.4.2.-
Q5LU93	2.4.2.-
O33565	2.4.2.-
Q8EFB4	2.4.2.-
P64364	2.4.2.-
P64365	2.4.2.-
Q4A047	2.4.2.-
A8AY26	2.4.2.-
A3CNT2	2.4.2.-
Q30PY0	2.4.2.-
Q67KH8	2.4.2.-
Q2JVR1	2.4.2.-
Q5MZ63	2.4.2.-
Q8DIP5	2.4.2.-
Q5JFV0	2.4.2.-
Q7SIC0	2.4.2.-
Q113E7	2.4.2.-
Q5E635	2.4.2.-
Q7M9X0	2.4.2.-
Q4UU43	2.4.2.-
Q9HU44	4.1.3.-
A1TL06	4.1.3.-
B7IBD7	4.1.3.-
A3M9P1	4.1.3.-
A5FYE5	4.1.3.-
A4SMQ4	4.1.3.-
B2UQA2	4.1.3.-
Q0A5D3	4.1.3.-
A6TKT6	4.1.3.-
Q3MEF5	4.1.3.-
A0JVK5	4.1.3.-
B6EJ93	4.1.3.-
C3L9P7	4.1.3.-
Q81T58	4.1.3.-
B7HKD4	4.1.3.-
Q63DW8	4.1.3.-
O34727	4.1.3.-
A4YJV5	4.1.3.-
Q2YQY8	4.1.3.-
A9M9R9	4.1.3.-
B0CJI6	4.1.3.-
Q9ZHE1	4.1.3.-
B1YRW1	4.1.3.-
B1JUA5	4.1.3.-
Q0BIW4	4.1.3.-
A3MPU4	4.1.3.-
Q3JN02	4.1.3.-
B3PGA4	4.1.3.-
B8GBF3	4.1.3.-
Q3B2Q6	4.1.3.-
Q3ATG0	4.1.3.-
B3QSI0	4.1.3.-
Q7P0E9	4.1.3.-
Q9RWD7	4.1.3.-
B8FP24	4.1.3.-
C4XS73	4.1.3.-
B8DQX6	4.1.3.-
B8E2C8	4.1.3.-
B7L9Q2	4.1.3.-
C4ZSB4	4.1.3.-
A1ACN7	4.1.3.-
A5FFX6	4.1.3.-
Q5KVD0	4.1.3.-
P44436	4.1.3.-
B4U7M4	4.1.3.-
A8AAK3	4.1.3.-
A6WC96	4.1.3.-
B5XPE2	4.1.3.-
Q1IKB2	4.1.3.-
Q6AF73	4.1.3.-
Q9ZGM0	4.1.3.-
P59119	4.1.3.-
B1HVQ1	4.1.3.-
Q65RC1	4.1.3.-
A6UUZ9	4.1.3.-
A7I616	4.1.3.-
B7KPM8	4.1.3.-
Q2FPV1	4.1.3.-
A2STB8	4.1.3.-
A6VHY8	4.1.3.-
B8IPH3	4.1.3.-
A2SE09	4.1.3.-
B0JY78	4.1.3.-
C1ANM7	4.1.3.-
B8HGA0	4.2.1.19
A4VRW2	4.2.1.19
A3MSG0	4.2.1.19
B2UEE9	4.2.1.19
B3PWI5	4.2.1.19
Q13E36	4.2.1.19
O33564	4.2.1.19
A7NQZ5	4.2.1.19
A8LX62	4.2.1.19
Q2FUU0	4.2.1.19
A6QKG4	4.2.1.19
A8Z5H6	4.2.1.19
Q31S12	4.2.1.19
Q5N2A1	4.2.1.19
P34041	4.2.1.19
A5CVR1	4.2.1.19
A7IHP3	4.2.1.19
Q3M504	2.6.1.9
Q73AX7	2.6.1.9
Q63XM1	2.6.1.9
P45358	2.6.1.9
B7GZI3	2.6.1.9
B9MDV4	2.6.1.9
A4SMP7	2.6.1.9
B6EJ89	2.6.1.9
O67857	2.6.1.9
Q5P791	2.6.1.9
Q64RE8	2.6.1.9
A8FEJ6	2.6.1.9
A6L2V8	2.6.1.9
A5VSV7	2.6.1.9
Q9ZHE5	2.6.1.9
Q84I52	2.6.1.9
P56099	2.6.1.9
B3ECG2	2.6.1.9
A1BGB4	2.6.1.9
Q7P0F4	2.6.1.9
C3KVX5	2.6.1.9
C1FN41	2.6.1.9
B9E168	2.6.1.9
Q47XB7	2.6.1.9
Q6AQK2	2.6.1.9
A1VEW4	2.6.1.9
A7ZNJ3	2.6.1.9
B7UT58	2.6.1.9
B5YU77	2.6.1.9
B7M400	2.6.1.9
A8A1P5	2.6.1.9
Q8FG51	2.6.1.9
B6I848	2.6.1.9
Q2N7G6	2.6.1.9
A6GY79	2.6.1.9
B5E9W9	2.6.1.9
P61000	2.6.1.9
A4IQ80	2.6.1.9
A5G9G1	2.6.1.9
Q0BVW4	2.6.1.9
Q9HQS0	2.6.1.9
Q28TL1	2.6.1.9
B2GBR8	2.6.1.9
Q02YW3	2.6.1.9
Q04Z75	2.6.1.9
B1N009	2.6.1.9
Q92A83	2.6.1.9
B8DC01	2.6.1.9
B1HTD4	2.6.1.9
A9AA96	2.6.1.9
B8IRU5	2.6.1.9
Q2RL44	2.6.1.9
A1KJ16	2.6.1.9
A3Q130	2.6.1.9
A1R558	2.6.1.9
Q3A7R3	2.6.1.9
Q131B9	2.6.1.9
A3PIA4	2.6.1.9
A7NFV2	2.6.1.9
Q1GET3	2.6.1.9
B5FM42	2.6.1.9
B4SX42	2.6.1.9
B5RBR3	2.6.1.9
C0Q1K1	2.6.1.9
A1S6Z2	2.6.1.9
Q32EF0	2.6.1.9
P55683	2.6.1.9
Q5JFU6	2.6.1.9
Q9X0D0	2.6.1.9
B1L869	2.6.1.9
O82030	2.6.1.9
A7MX17	2.6.1.9
B5FDA0	2.6.1.9
Q2P3K2	2.6.1.9
Q9PBC6	2.6.1.9
Q1C9R1	2.6.1.9
Q1CGX0	2.6.1.9
P34037	2.6.1.9
Q02150	3.1.3.15
Q0P4Y1	2.3.1.33
Q47XB8	1.1.1.23
Q3J079	1.1.1.23
P73058	1.1.1.23
Q6FEC8	1.1.1.23
O30027	1.1.1.23
Q81G06	1.1.1.23
Q64RE7	1.1.1.23
Q6HLE7	1.1.1.23
Q8G4S9	1.1.1.23
P59397	1.1.1.23
Q57F99	1.1.1.23
Q9ZHE6	1.1.1.23
Q9RQ88	1.1.1.23
Q3JMZ6	1.1.1.23
Q5HSJ3	1.1.1.23
Q9A5V1	1.1.1.23
Q8KEY6	1.1.1.23
Q8FNZ0	1.1.1.23
Q4JW59	1.1.1.23
Q5KVC6	1.1.1.23
Q39YP7	1.1.1.23
Q7NL02	1.1.1.23
Q4QN74	1.1.1.23
Q5V574	1.1.1.23
Q8GDP4	1.1.1.23
P59399	1.1.1.23
Q6AE76	1.1.1.23
P28736	1.1.1.23
P9WNW9	1.1.1.23
Q3J7H1	1.1.1.23
Q8ESR8	1.1.1.23
Q6D411	1.1.1.23
Q4KI73	1.1.1.23
Q7UX39	1.1.1.23
Q2RQM7	1.1.1.23
Q5PDP3	1.1.1.23
P10370	1.1.1.23
Q6GDC6	1.1.1.23
Q21882	3.5.2.17
O28314	3.1.22.4
O07778	2.7.13.3
A5EWS4	2.7.1.167; 2.7.7.70
B7MAC8	2.7.1.167; 2.7.7.70
Q7AAQ7	2.7.1.167; 2.7.7.70
B7NJR5	2.7.1.167; 2.7.7.70
C4ZQW9	2.7.1.167; 2.7.7.70
Q0TD55	2.7.1.167; 2.7.7.70
B1IRR4	2.7.1.167; 2.7.7.70
B7ND40	2.7.1.167; 2.7.7.70
B1LF43	2.7.1.167; 2.7.7.70
C5BHH2	2.7.1.167; 2.7.7.70
B7LQC9	2.7.1.167; 2.7.7.70
Q74BF6	2.7.1.167; 2.7.7.70
Q5FS52	2.7.1.167; 2.7.7.70
A5UCC3	2.7.1.167; 2.7.7.70
O05074	2.7.1.167; 2.7.7.70
Q65T41	2.7.1.167; 2.7.7.70
Q1H3A0	2.7.1.167; 2.7.7.70
Q3STQ8	2.7.1.167; 2.7.7.70
A1AV12	2.7.1.167; 2.7.7.70
B4EW46	2.7.1.167; 2.7.7.70
C3KDB8	2.7.1.167; 2.7.7.70
Q6N2R5	2.7.1.167; 2.7.7.70
B5F696	2.7.1.167; 2.7.7.70
Q57JQ9	2.7.1.167; 2.7.7.70
Q8XEW9	2.7.1.167; 2.7.7.70
A3D837	2.7.1.167; 2.7.7.70
B0TTF2	2.7.1.167; 2.7.7.70
A4Y9Z9	2.7.1.167; 2.7.7.70
Q0HFL0	2.7.1.167; 2.7.7.70
O64815	2.3.1.-
Q9SZW4	3.6.3.3; 3.6.3.5
O64474	3.6.3.3; 3.6.3.5
B9DFX7	3.6.3.4
O52791	1.13.11.46
P17425	2.3.3.10
P54872	2.3.3.10
P54839	2.3.3.10
Q50759	1.12.98.2
P81221	1.12.98.2
A8WG57	4.1.3.4
Q69XJ4	1.14.14.18
Q2PG53	1.14.14.18
P23711	1.14.14.18
E1F8H4	1.14.12.17
Q81FW4	1.14.12.17
P49852	1.14.12.17
Q7NSD8	1.14.12.17
P39662	1.14.12.17
Q7ABK6	1.14.12.17
Q6D245	1.14.12.17
Q6LM37	1.14.12.17
Q88PP0	1.14.12.17
Q57LF5	1.14.12.17
Q7C0F9	1.14.12.17
Q9KMY3	1.14.12.17
Q8ZCR0	1.14.12.17
Q9FUM8	2.1.1.10
P34081	3.1.-.-
Q9M1W4	2.1.1.10
Q6G098	3.6.3.-
Q39B28	3.6.3.-
Q1LC89	3.6.3.-
Q0TBU8	3.6.3.-
Q84EY8	3.6.3.-
Q5QXD0	3.6.3.-
Q7N3S7	3.6.3.-
Q2K551	3.6.3.-
Q98L75	3.6.3.-
Q02FW7	3.6.3.-
P52708	4.1.2.11
P52705	4.1.2.47
U3NEE3	2.1.1.22
P50135	2.1.1.8
Q0QLF7	1.3.7.1
Q04344	3.-.-.-
P11235	3.2.1.18
P35740	3.2.1.18
P35742	3.2.1.18
Q9Q2W5	3.2.1.18
P12557	3.2.1.18
P12553	3.2.1.18
P25465	3.2.1.18
P06167	3.2.1.18
P12561	3.2.1.18
P28885	3.2.1.18
Q783Y1	3.2.1.18
Q8YVS7	1.14.14.18
C1DMT5	4.1.3.39
A4JPX7	4.1.3.39
Q47HL8	4.1.3.39
A2SI33	4.1.3.39
A1UM80	4.1.3.39
Q5Z2N2	4.1.3.39
P51018	4.1.3.39
A5V6T8	4.1.3.39
Q0K3S5	4.1.3.39
A3Q6M9	4.1.3.39
A0PUX2	4.1.3.39
Q5YV93	4.1.3.39
Q13VU3	4.1.3.39
P51019	4.1.3.39
Q0S9W9	4.1.3.39
Q9RHN1	4.1.3.39
Q47B13	4.1.3.39
Q0S815	4.1.3.39
Q0S006	4.1.3.39
C1BE28	4.1.3.39
A1W2K3	4.1.3.39
A0RD70	4.1.3.39
A3P825	4.1.3.39
B7NK03	4.1.3.39
A7ZWZ9	4.1.3.39
B7N8Q9	4.1.3.39
B1LIN7	4.1.3.39
B5XQJ4	4.1.3.39
A6W1X1	4.1.3.39
A0QAG9	4.1.3.39
C1AHZ2	4.1.3.39
A5U8K8	4.1.3.39
B2T2S2	4.1.3.39
Q120N9	4.1.3.39
P51016	4.1.3.39
B2UJF1	4.1.3.39
A7NLU2	4.1.3.39
Q0PHX9	4.1.3.39
B9L2J0	4.1.3.39
Q750A9	2.7.11.24
A2QRF6	2.7.11.24
P53096	3.5.1.98
Q12122	2.3.3.14
Q9U2M4	1.1.99.24
Q9W265	1.1.99.24
Q8IWW8	1.1.99.24
Q6P371	1.1.99.24
O60243	2.8.2.-
Q8IZP7	2.8.2.-
P0C9X2	3.6.4.-
Q8K0D2	3.4.21.-
Q5VWC8	4.2.1.134
Q6DCL5	2.3.2.26
Q6FQH2	2.7.11.1
A6ZQG7	2.7.11.1
Q9NYQ3	1.1.3.15
P45387	3.4.21.-
Q8RUD6	1.20.4.1
P81343	1.1.1.157
Q96VH4	1.-.-.-
A3MME1	3.1.1.22
Q3JPD1	3.1.1.22
A4JBY8	3.1.1.22
A3NYK1	3.1.1.22
A1TWS1	3.1.1.22
A1VUF3	3.1.1.22
A7ZPY4	1.3.1.87
B7M7P4	1.3.1.87
B7N6C6	1.14.12.19
Q7N4V9	1.14.12.19
O23917	2.3.1.144
P41938	1.1.1.35
Q9WVK7	1.1.1.35
B7L8Y4	3.1.2.-; 3.5.1.124
B7NRB5	3.1.2.-; 3.5.1.124
C4ZQN7	3.1.2.-; 3.5.1.124
B6I112	3.1.2.-; 3.5.1.124
Q8NXY2	3.1.2.-; 3.5.1.124
Q95M30	2.7.10.2
P50545	2.7.10.2
B8FWP2	1.7.99.1
B2A0K0	1.7.99.1
A9BHK9	1.7.99.1
Q6LG35	1.7.99.1
A9N804	1.7.99.1
B4TRQ3	1.7.99.1
B8EBN7	1.7.99.1
